Tag  	Molecule                                     	Date           	Cat Link                                 Metadata Link                           
042511	CH2DCN                                       	July 2013      	/site/vorhersagen/catalog/c042511.cat    /cgi-bin/cdmsinfo?file=e042511.cat      
043514	CHD2CN                                       	July 2013      	/site/vorhersagen/catalog/c043514.cat    /cgi-bin/cdmsinfo?file=e043514.cat      
068503	C3S, v = 0                                   	June 2013      	/site/vorhersagen/catalog/c068503.cat    /cgi-bin/cdmsinfo?file=e068503.cat      
068505	C3S, v5 = 1                                  	June 2013      	/site/vorhersagen/catalog/c068505.cat    /cgi-bin/cdmsinfo?file=e068505.cat      
069502	C13CCS                                       	June 2013      	/site/vorhersagen/catalog/c069502.cat    /cgi-bin/cdmsinfo?file=e069502.cat      
069503	13CCCS                                       	June 2013      	/site/vorhersagen/catalog/c069503.cat    /cgi-bin/cdmsinfo?file=e069503.cat      
069507	CC13CS                                       	June 2013      	/site/vorhersagen/catalog/c069507.cat    /cgi-bin/cdmsinfo?file=e069507.cat      
070502	C334S                                        	June 2013      	/site/vorhersagen/catalog/c070502.cat    /cgi-bin/cdmsinfo?file=e070502.cat      
070506	C13C13CS                                     	June 2013      	/site/vorhersagen/catalog/c070506.cat    /cgi-bin/cdmsinfo?file=e070506.cat      
070507	13CC13CS                                     	June 2013      	/site/vorhersagen/catalog/c070507.cat    /cgi-bin/cdmsinfo?file=e070507.cat      
071503	CC13C34S                                     	June 2013      	/site/vorhersagen/catalog/c071503.cat    /cgi-bin/cdmsinfo?file=e071503.cat      
071504	C13CC34S                                     	June 2013      	/site/vorhersagen/catalog/c071504.cat    /cgi-bin/cdmsinfo?file=e071504.cat      
071505	13CCC34S                                     	June 2013      	/site/vorhersagen/catalog/c071505.cat    /cgi-bin/cdmsinfo?file=e071505.cat      
034501	PH3                                          	May 2013       	/site/vorhersagen/catalog/c034501.cat    /cgi-bin/cdmsinfo?file=e034501.cat      
064504	TiO                                          	May 2013       	/site/vorhersagen/catalog/c064504.cat    /cgi-bin/cdmsinfo?file=e064504.cat      
045512	HC(O)NH2, v = 0                              	April 2013     	/site/vorhersagen/catalog/c045512.cat    /cgi-bin/cdmsinfo?file=e045512.cat      
045516	HC(O)NH2, v12 = 1                            	April 2013     	/site/vorhersagen/catalog/c045516.cat    /cgi-bin/cdmsinfo?file=e045516.cat      
046512	H13C(O)NH2                                   	April 2013     	/site/vorhersagen/catalog/c046512.cat    /cgi-bin/cdmsinfo?file=e046512.cat      
046520	DC(O)NH2                                     	April 2013     	/site/vorhersagen/catalog/c046520.cat    /cgi-bin/cdmsinfo?file=e046520.cat      
046521	cis-HC(O)NHD                                 	April 2013     	/site/vorhersagen/catalog/c046521.cat    /cgi-bin/cdmsinfo?file=e046521.cat      
046522	trans-HC(O)NHD                               	April 2013     	/site/vorhersagen/catalog/c046522.cat    /cgi-bin/cdmsinfo?file=e046522.cat      
066506	H2C(CN)2                                     	April 2013     	/site/vorhersagen/catalog/c066506.cat    /cgi-bin/cdmsinfo?file=e066506.cat      
056504	C2H513CN, v = 0                              	February 2013  	/site/vorhersagen/catalog/c056504.cat    /cgi-bin/cdmsinfo?file=e056504.cat      
056505	CH313CH2CN, v = 0                            	February 2013  	/site/vorhersagen/catalog/c056505.cat    /cgi-bin/cdmsinfo?file=e056505.cat      
056506	13CH3CH2CN, v = 0                            	February 2013  	/site/vorhersagen/catalog/c056506.cat    /cgi-bin/cdmsinfo?file=e056506.cat      
061513	CH2(OH)13CHO                                 	February 2013  	/site/vorhersagen/catalog/c061513.cat    /cgi-bin/cdmsinfo?file=e061513.cat      
061514	13CH2(OH)CHO                                 	February 2013  	/site/vorhersagen/catalog/c061514.cat    /cgi-bin/cdmsinfo?file=e061514.cat      
